id,name,created_at,updated_at
11,ACEH,2023-05-15 15:39:14,2023-05-15 15:39:14
12,SUMATERA UTARA,2023-05-15 15:39:14,2023-05-15 15:39:14
13,SUMATERA BARAT,2023-05-15 15:39:14,2023-05-15 15:39:14
14,RIAU,2023-05-15 15:39:14,2023-05-15 15:39:14
15,JAMBI,2023-05-15 15:39:14,2023-05-15 15:39:14
16,SUMATERA SELATAN,2023-05-15 15:39:14,2023-05-15 15:39:14
17,BENGKULU,2023-05-15 15:39:14,2023-05-15 15:39:14
18,LAMPUNG,2023-05-15 15:39:14,2023-05-15 15:39:14
19,KEPULAUAN BANGKA BELITUNG,2023-05-15 15:39:14,2023-05-15 15:39:14
21,KEPULAUAN RIAU,2023-05-15 15:39:14,2023-05-15 15:39:14
31,DKI JAKARTA,2023-05-15 15:39:14,2023-05-15 15:39:14
32,JAWA BARAT,2023-05-15 15:39:14,2023-05-15 15:39:14
33,JAWA TENGAH,2023-05-15 15:39:14,2023-05-15 15:39:14
34,DI YOGYAKARTA,2023-05-15 15:39:14,2023-05-15 15:39:14
35,JAWA TIMUR,2023-05-15 15:39:14,2023-05-15 15:39:14
36,BANTEN,2023-05-15 15:39:14,2023-05-15 15:39:14
51,BALI,2023-05-15 15:39:14,2023-05-15 15:39:14
52,NUSA TENGGARA BARAT,2023-05-15 15:39:14,2023-05-15 15:39:14
53,NUSA TENGGARA TIMUR,2023-05-15 15:39:14,2023-05-15 15:39:14
61,KALIMANTAN BARAT,2023-05-15 15:39:14,2023-05-15 15:39:14
62,KALIMANTAN TENGAH,2023-05-15 15:39:14,2023-05-15 15:39:14
63,KALIMANTAN SELATAN,2023-05-15 15:39:14,2023-05-15 15:39:14
64,KALIMANTAN TIMUR,2023-05-15 15:39:14,2023-05-15 15:39:14
65,KALIMANTAN UTARA,2023-05-15 15:39:14,2023-05-15 15:39:14
71,SULAWESI UTARA,2023-05-15 15:39:14,2023-05-15 15:39:14
72,SULAWESI TENGAH,2023-05-15 15:39:14,2023-05-15 15:39:14
73,SULAWESI SELATAN,2023-05-15 15:39:14,2023-05-15 15:39:14
74,SULAWESI TENGGARA,2023-05-15 15:39:14,2023-05-15 15:39:14
75,GORONTALO,2023-05-15 15:39:14,2023-05-15 15:39:14
76,SULAWESI BARAT,2023-05-15 15:39:14,2023-05-15 15:39:14
81,MALUKU,2023-05-15 15:39:14,2023-05-15 15:39:14
82,MALUKU UTARA,2023-05-15 15:39:14,2023-05-15 15:39:14
91,PAPUA BARAT,2023-05-15 15:39:14,2023-05-15 15:39:14
94,PAPUA,2023-05-15 15:39:14,2023-05-15 15:39:14
